company_id,ticker,company_name,cluster_id,cluster_name,distance_from_centroid
51,TICKER_51,Company 51,2,Value Cyclicals,1.516
52,TICKER_52,Company 52,2,Value Cyclicals,0.7599
53,TICKER_53,Company 53,1,Defensive Dividend Payers,1.9092
54,TICKER_54,Company 54,2,Value Cyclicals,1.8046
55,TICKER_55,Company 55,4,Emerging Growth,0.8708
56,TICKER_56,Company 56,3,Distressed or Turnaround,1.0538
57,TICKER_57,Company 57,2,Value Cyclicals,1.148
58,TICKER_58,Company 58,1,Defensive Dividend Payers,0.3991
59,TICKER_59,Company 59,4,Emerging Growth,1.1914
60,TICKER_60,Company 60,2,Value Cyclicals,1.5216
61,TICKER_61,Company 61,2,Value Cyclicals,1.3649
62,TICKER_62,Company 62,3,Distressed or Turnaround,0.9482
63,TICKER_63,Company 63,3,Distressed or Turnaround,1.0981
64,TICKER_64,Company 64,1,Defensive Dividend Payers,0.9453
65,TICKER_65,Company 65,2,Value Cyclicals,0.6436
66,TICKER_66,Company 66,4,Emerging Growth,0.9622
67,TICKER_67,Company 67,2,Value Cyclicals,0.8045
68,TICKER_68,Company 68,2,Value Cyclicals,0.9236
69,TICKER_69,Company 69,1,Defensive Dividend Payers,1.536
70,TICKER_70,Company 70,2,Value Cyclicals,1.1614
71,TICKER_71,Company 71,2,Value Cyclicals,0.6128
72,TICKER_72,Company 72,1,Defensive Dividend Payers,1.0454
73,TICKER_73,Company 73,3,Distressed or Turnaround,1.4087
74,TICKER_74,Company 74,1,Defensive Dividend Payers,0.9115
75,TICKER_75,Company 75,2,Value Cyclicals,0.3806
76,TICKER_76,Company 76,2,Value Cyclicals,1.0521
77,TICKER_77,Company 77,3,Distressed or Turnaround,1.2275
78,TICKER_78,Company 78,2,Value Cyclicals,0.8843
79,TICKER_79,Company 79,1,Defensive Dividend Payers,0.4524
80,TICKER_80,Company 80,2,Value Cyclicals,1.2567
81,TICKER_81,Company 81,3,Distressed or Turnaround,1.0422
82,TICKER_82,Company 82,4,Emerging Growth,1.349
83,TICKER_83,Company 83,3,Distressed or Turnaround,1.133
84,TICKER_84,Company 84,1,Defensive Dividend Payers,1.9141
85,TICKER_85,Company 85,2,Value Cyclicals,1.2423
86,TICKER_86,Company 86,3,Distressed or Turnaround,1.8872
87,TICKER_87,Company 87,1,Defensive Dividend Payers,1.7256
88,TICKER_88,Company 88,2,Value Cyclicals,1.3937
89,TICKER_89,Company 89,2,Value Cyclicals,1.0691
90,TICKER_90,Company 90,3,Distressed or Turnaround,2.0614
91,TICKER_91,Company 91,0,High-Quality Compounders,0.8146
92,TICKER_92,Company 92,2,Value Cyclicals,0.833
