company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
5,2019,+,-,-,Shareholder Returns
5,2020,+,-,-,Reinvestor
5,2021,+,-,-,Reinvestor
5,2022,+,-,-,Shareholder Returns
5,2023,+,-,-,Reinvestor
5,2024,+,-,-,Reinvestor
6,2012,+,-,-,Reinvestor
6,2013,+,-,-,Shareholder Returns
6,2014,+,-,-,Reinvestor
6,2015,+,-,-,Reinvestor
6,2016,+,-,-,Shareholder Returns
6,2017,+,-,-,Reinvestor
6,2018,+,-,-,Reinvestor
6,2019,+,-,-,Shareholder Returns
6,2020,+,-,-,Reinvestor
6,2021,+,-,-,Reinvestor
6,2022,+,-,-,Shareholder Returns
6,2023,+,-,-,Reinvestor
6,2024,+,-,-,Reinvestor
7,2012,+,-,-,Reinvestor
7,2013,+,-,-,Shareholder Returns
7,2014,+,-,-,Reinvestor
7,2015,+,-,-,Reinvestor
7,2016,+,-,-,Shareholder Returns
7,2017,+,-,-,Reinvestor
7,2018,+,-,-,Reinvestor
7,2019,+,-,-,Shareholder Returns
7,2020,+,-,-,Reinvestor
7,2021,+,-,-,Reinvestor
7,2022,+,-,-,Shareholder Returns
7,2023,+,-,-,Reinvestor
7,2024,+,-,-,Reinvestor
8,2012,+,-,-,Reinvestor
8,2013,+,-,-,Shareholder Returns
8,2014,+,-,-,Reinvestor
8,2015,+,-,-,Reinvestor
8,2016,+,-,-,Shareholder Returns
8,2017,+,-,-,Reinvestor
8,2018,+,-,-,Reinvestor
8,2019,+,-,-,Shareholder Returns
8,2020,+,-,-,Reinvestor
8,2021,+,-,-,Reinvestor
8,2022,+,-,-,Shareholder Returns
8,2023,+,-,-,Reinvestor
8,2024,+,-,-,Reinvestor
9,2012,+,-,-,Reinvestor
9,2013,+,-,-,Shareholder Returns
9,2014,+,-,-,Reinvestor
9,2015,+,-,-,Reinvestor
9,2016,+,-,-,Shareholder Returns
9,2017,+,-,-,Reinvestor
9,2018,+,-,-,Reinvestor
9,2019,+,-,-,Shareholder Returns
9,2020,+,-,-,Reinvestor
9,2021,+,-,-,Reinvestor
9,2022,+,-,-,Shareholder Returns
9,2023,+,-,-,Reinvestor
9,2024,+,-,-,Reinvestor
10,2012,+,-,-,Reinvestor
10,2013,+,-,-,Shareholder Returns
10,2014,+,-,-,Reinvestor
10,2015,+,-,-,Reinvestor
10,2016,+,-,-,Shareholder Returns
10,2017,+,-,-,Reinvestor
10,2018,+,-,-,Reinvestor
10,2019,+,-,-,Shareholder Returns
10,2020,+,-,-,Reinvestor
10,2021,+,-,-,Reinvestor
10,2022,+,-,-,Shareholder Returns
10,2023,+,-,-,Reinvestor
10,2024,+,-,-,Reinvestor
11,2012,+,-,-,Reinvestor
11,2013,+,-,-,Shareholder Returns
11,2014,+,-,-,Reinvestor
11,2015,+,-,-,Reinvestor
11,2016,+,-,-,Shareholder Returns
11,2017,+,-,-,Reinvestor
11,2018,+,-,-,Reinvestor
11,2019,+,-,-,Shareholder Returns
11,2020,+,-,-,Reinvestor
11,2021,+,-,-,Reinvestor
11,2022,+,-,-,Shareholder Returns
11,2023,+,-,-,Reinvestor
11,2024,+,-,-,Reinvestor
12,2012,+,-,-,Reinvestor
12,2013,+,-,-,Shareholder Returns
12,2014,+,-,-,Reinvestor
12,2015,+,-,-,Reinvestor
12,2016,+,-,-,Shareholder Returns
12,2017,+,-,-,Reinvestor
12,2018,+,-,-,Reinvestor
12,2019,+,-,-,Shareholder Returns
12,2020,+,-,-,Reinvestor
12,2021,+,-,-,Reinvestor
12,2022,+,-,-,Shareholder Returns
12,2023,+,-,-,Reinvestor
12,2024,+,-,-,Reinvestor
13,2012,+,-,-,Reinvestor
13,2013,+,-,-,Shareholder Returns
13,2014,+,-,-,Reinvestor
13,2015,+,-,-,Reinvestor
13,2016,+,-,-,Shareholder Returns
13,2017,+,-,-,Reinvestor
13,2018,+,-,-,Reinvestor
13,2019,+,-,-,Shareholder Returns
13,2020,+,-,-,Reinvestor
13,2021,+,-,-,Reinvestor
13,2022,+,-,-,Shareholder Returns
13,2023,+,-,-,Reinvestor
13,2024,+,-,-,Reinvestor
14,2012,+,-,-,Reinvestor
14,2013,+,-,-,Shareholder Returns
14,2014,+,-,-,Reinvestor
14,2015,+,-,-,Reinvestor
14,2016,+,-,-,Shareholder Returns
14,2017,+,-,-,Reinvestor
14,2018,+,-,-,Reinvestor
14,2019,+,-,-,Shareholder Returns
14,2020,+,-,-,Reinvestor
14,2021,+,-,-,Reinvestor
14,2022,+,-,-,Shareholder Returns
14,2023,+,-,-,Reinvestor
14,2024,+,-,-,Reinvestor
15,2012,+,-,-,Reinvestor
15,2013,+,-,-,Shareholder Returns
15,2014,+,-,-,Reinvestor
15,2015,+,-,-,Reinvestor
15,2016,+,-,-,Shareholder Returns
15,2017,+,-,-,Reinvestor
15,2018,+,-,-,Reinvestor
15,2019,+,-,-,Shareholder Returns
15,2020,+,-,-,Reinvestor
15,2021,+,-,-,Reinvestor
15,2022,+,-,-,Shareholder Returns
15,2023,+,-,-,Reinvestor
15,2024,+,-,-,Reinvestor
16,2012,+,-,-,Reinvestor
16,2013,+,-,-,Shareholder Returns
16,2014,+,-,-,Reinvestor
16,2015,+,-,-,Reinvestor
16,2016,+,-,-,Shareholder Returns
16,2017,+,-,-,Reinvestor
16,2018,+,-,-,Reinvestor
16,2019,+,-,-,Shareholder Returns
16,2020,+,-,-,Reinvestor
16,2021,+,-,-,Reinvestor
16,2022,+,-,-,Shareholder Returns
16,2023,+,-,-,Reinvestor
16,2024,+,-,-,Reinvestor
17,2012,+,-,-,Reinvestor
17,2013,+,-,-,Shareholder Returns
17,2014,+,-,-,Reinvestor
17,2015,+,-,-,Reinvestor
17,2016,+,-,-,Shareholder Returns
17,2017,+,-,-,Reinvestor
17,2018,+,-,-,Reinvestor
17,2019,+,-,-,Shareholder Returns
17,2020,+,-,-,Reinvestor
17,2021,+,-,-,Reinvestor
17,2022,+,-,-,Shareholder Returns
17,2023,+,-,-,Reinvestor
17,2024,+,-,-,Reinvestor
18,2012,+,-,-,Reinvestor
18,2013,+,-,-,Shareholder Returns
18,2014,+,-,-,Reinvestor
18,2015,+,-,-,Reinvestor
18,2016,+,-,-,Shareholder Returns
18,2017,+,-,-,Reinvestor
18,2018,+,-,-,Reinvestor
18,2019,+,-,-,Shareholder Returns
18,2020,+,-,-,Reinvestor
18,2021,+,-,-,Reinvestor
18,2022,+,-,-,Shareholder Returns
18,2023,+,-,-,Reinvestor
18,2024,+,-,-,Reinvestor
19,2012,+,-,-,Reinvestor
19,2013,+,-,-,Shareholder Returns
19,2014,+,-,-,Reinvestor
19,2015,+,-,-,Reinvestor
19,2016,+,-,-,Shareholder Returns
19,2017,+,-,-,Reinvestor
19,2018,+,-,-,Reinvestor
19,2019,+,-,-,Shareholder Returns
19,2020,+,-,-,Reinvestor
19,2021,+,-,-,Reinvestor
19,2022,+,-,-,Shareholder Returns
19,2023,+,-,-,Reinvestor
19,2024,+,-,-,Reinvestor
20,2012,+,-,-,Reinvestor
20,2013,+,-,-,Shareholder Returns
20,2014,+,-,-,Reinvestor
20,2015,+,-,-,Reinvestor
20,2016,+,-,-,Shareholder Returns
20,2017,+,-,-,Reinvestor
20,2018,+,-,-,Reinvestor
20,2019,+,-,-,Shareholder Returns
20,2020,+,-,-,Reinvestor
20,2021,+,-,-,Reinvestor
20,2022,+,-,-,Shareholder Returns
20,2023,+,-,-,Reinvestor
20,2024,+,-,-,Reinvestor
21,2012,+,-,-,Reinvestor
21,2013,+,-,-,Shareholder Returns
21,2014,+,-,-,Reinvestor
21,2015,+,-,-,Reinvestor
21,2016,+,-,-,Shareholder Returns
21,2017,+,-,-,Reinvestor
21,2018,+,-,-,Reinvestor
21,2019,+,-,-,Shareholder Returns
21,2020,+,-,-,Reinvestor
21,2021,+,-,-,Reinvestor
21,2022,+,-,-,Shareholder Returns
21,2023,+,-,-,Reinvestor
21,2024,+,-,-,Reinvestor
22,2012,+,-,-,Reinvestor
22,2013,+,-,-,Shareholder Returns
22,2014,+,-,-,Reinvestor
22,2015,+,-,-,Reinvestor
22,2016,+,-,-,Shareholder Returns
22,2017,+,-,-,Reinvestor
22,2018,+,-,-,Reinvestor
22,2019,+,-,-,Shareholder Returns
22,2020,+,-,-,Reinvestor
22,2021,+,-,-,Reinvestor
22,2022,+,-,-,Shareholder Returns
22,2023,+,-,-,Reinvestor
22,2024,+,-,-,Reinvestor
23,2012,+,-,-,Reinvestor
23,2013,+,-,-,Shareholder Returns
23,2014,+,-,-,Reinvestor
23,2015,+,-,-,Reinvestor
23,2016,+,-,-,Shareholder Returns
23,2017,+,-,-,Reinvestor
23,2018,+,-,-,Reinvestor
23,2019,+,-,-,Shareholder Returns
23,2020,+,-,-,Reinvestor
23,2021,+,-,-,Reinvestor
23,2022,+,-,-,Shareholder Returns
23,2023,+,-,-,Reinvestor
23,2024,+,-,-,Reinvestor
24,2012,+,-,-,Reinvestor
24,2013,+,-,-,Shareholder Returns
24,2014,+,-,-,Reinvestor
24,2015,+,-,-,Reinvestor
24,2016,+,-,-,Shareholder Returns
24,2017,+,-,-,Reinvestor
24,2018,+,-,-,Reinvestor
24,2019,+,-,-,Shareholder Returns
24,2020,+,-,-,Reinvestor
24,2021,+,-,-,Reinvestor
24,2022,+,-,-,Shareholder Returns
24,2023,+,-,-,Reinvestor
24,2024,+,-,-,Reinvestor
25,2012,+,-,-,Reinvestor
25,2013,+,-,-,Shareholder Returns
25,2014,+,-,-,Reinvestor
25,2015,+,-,-,Reinvestor
25,2016,+,-,-,Shareholder Returns
25,2017,+,-,-,Reinvestor
25,2018,+,-,-,Reinvestor
25,2019,+,-,-,Shareholder Returns
25,2020,+,-,-,Reinvestor
25,2021,+,-,-,Reinvestor
25,2022,+,-,-,Shareholder Returns
25,2023,+,-,-,Reinvestor
25,2024,+,-,-,Reinvestor
26,2012,+,-,-,Reinvestor
26,2013,+,-,-,Shareholder Returns
26,2014,+,-,-,Reinvestor
26,2015,+,-,-,Reinvestor
26,2016,+,-,-,Shareholder Returns
26,2017,+,-,-,Reinvestor
26,2018,+,-,-,Reinvestor
26,2019,+,-,-,Shareholder Returns
26,2020,+,-,-,Reinvestor
26,2021,+,-,-,Reinvestor
26,2022,+,-,-,Shareholder Returns
26,2023,+,-,-,Reinvestor
26,2024,+,-,-,Reinvestor
27,2012,+,-,-,Reinvestor
27,2013,+,-,-,Shareholder Returns
27,2014,+,-,-,Reinvestor
27,2015,+,-,-,Reinvestor
27,2016,+,-,-,Shareholder Returns
27,2017,+,-,-,Reinvestor
27,2018,+,-,-,Reinvestor
27,2019,+,-,-,Shareholder Returns
27,2020,+,-,-,Reinvestor
27,2021,+,-,-,Reinvestor
27,2022,+,-,-,Shareholder Returns
27,2023,+,-,-,Reinvestor
27,2024,+,-,-,Reinvestor
28,2012,+,-,-,Reinvestor
28,2013,+,-,-,Shareholder Returns
28,2014,+,-,-,Reinvestor
28,2015,+,-,-,Reinvestor
28,2016,+,-,-,Shareholder Returns
28,2017,+,-,-,Reinvestor
28,2018,+,-,-,Reinvestor
28,2019,+,-,-,Shareholder Returns
28,2020,+,-,-,Reinvestor
28,2021,+,-,-,Reinvestor
28,2022,+,-,-,Shareholder Returns
28,2023,+,-,-,Reinvestor
28,2024,+,-,-,Reinvestor
29,2012,+,-,-,Reinvestor
29,2013,+,-,-,Shareholder Returns
29,2014,+,-,-,Reinvestor
29,2015,+,-,-,Reinvestor
29,2016,+,-,-,Shareholder Returns
29,2017,+,-,-,Reinvestor
29,2018,+,-,-,Reinvestor
29,2019,+,-,-,Shareholder Returns
29,2020,+,-,-,Reinvestor
29,2021,+,-,-,Reinvestor
29,2022,+,-,-,Shareholder Returns
29,2023,+,-,-,Reinvestor
29,2024,+,-,-,Reinvestor
30,2012,+,-,-,Reinvestor
30,2013,+,-,-,Shareholder Returns
30,2014,+,-,-,Reinvestor
30,2015,+,-,-,Reinvestor
30,2016,+,-,-,Shareholder Returns
30,2017,+,-,-,Reinvestor
30,2018,+,-,-,Reinvestor
30,2019,+,-,-,Shareholder Returns
30,2020,+,-,-,Reinvestor
30,2021,+,-,-,Reinvestor
30,2022,+,-,-,Shareholder Returns
30,2023,+,-,-,Reinvestor
30,2024,+,-,-,Reinvestor
31,2012,+,-,-,Reinvestor
31,2013,+,-,-,Shareholder Returns
31,2014,+,-,-,Reinvestor
31,2015,+,-,-,Reinvestor
31,2016,+,-,-,Shareholder Returns
31,2017,+,-,-,Reinvestor
31,2018,+,-,-,Reinvestor
31,2019,+,-,-,Shareholder Returns
31,2020,+,-,-,Reinvestor
31,2021,+,-,-,Reinvestor
31,2022,+,-,-,Shareholder Returns
31,2023,+,-,-,Reinvestor
31,2024,+,-,-,Reinvestor
32,2012,+,-,-,Reinvestor
32,2013,+,-,-,Shareholder Returns
32,2014,+,-,-,Reinvestor
32,2015,+,-,-,Reinvestor
32,2016,+,-,-,Shareholder Returns
32,2017,+,-,-,Reinvestor
32,2018,+,-,-,Reinvestor
32,2019,+,-,-,Shareholder Returns
32,2020,+,-,-,Reinvestor
32,2021,+,-,-,Reinvestor
32,2022,+,-,-,Shareholder Returns
32,2023,+,-,-,Reinvestor
32,2024,+,-,-,Reinvestor
33,2012,+,-,-,Reinvestor
33,2013,+,-,-,Shareholder Returns
33,2014,+,-,-,Reinvestor
33,2015,+,-,-,Reinvestor
33,2016,+,-,-,Shareholder Returns
33,2017,+,-,-,Reinvestor
33,2018,+,-,-,Reinvestor
33,2019,+,-,-,Shareholder Returns
33,2020,+,-,-,Reinvestor
33,2021,+,-,-,Reinvestor
33,2022,+,-,-,Shareholder Returns
33,2023,+,-,-,Reinvestor
33,2024,+,-,-,Reinvestor
34,2012,+,-,-,Reinvestor
34,2013,+,-,-,Shareholder Returns
34,2014,+,-,-,Reinvestor
34,2015,+,-,-,Reinvestor
34,2016,+,-,-,Shareholder Returns
34,2017,+,-,-,Reinvestor
34,2018,+,-,-,Reinvestor
34,2019,+,-,-,Shareholder Returns
34,2020,+,-,-,Reinvestor
34,2021,+,-,-,Reinvestor
34,2022,+,-,-,Shareholder Returns
34,2023,+,-,-,Reinvestor
34,2024,+,-,-,Reinvestor
35,2012,+,-,-,Reinvestor
35,2013,+,-,-,Shareholder Returns
35,2014,+,-,-,Reinvestor
35,2015,+,-,-,Reinvestor
35,2016,+,-,-,Shareholder Returns
35,2017,+,-,-,Reinvestor
35,2018,+,-,-,Reinvestor
35,2019,+,-,-,Shareholder Returns
35,2020,+,-,-,Reinvestor
35,2021,+,-,-,Reinvestor
35,2022,+,-,-,Shareholder Returns
35,2023,+,-,-,Reinvestor
35,2024,+,-,-,Reinvestor
36,2012,+,-,-,Reinvestor
36,2013,+,-,-,Shareholder Returns
36,2014,+,-,-,Reinvestor
36,2015,+,-,-,Reinvestor
36,2016,+,-,-,Shareholder Returns
36,2017,+,-,-,Reinvestor
36,2018,+,-,-,Reinvestor
36,2019,+,-,-,Shareholder Returns
36,2020,+,-,-,Reinvestor
36,2021,+,-,-,Reinvestor
36,2022,+,-,-,Shareholder Returns
36,2023,+,-,-,Reinvestor
36,2024,+,-,-,Reinvestor
37,2012,+,-,-,Reinvestor
37,2013,+,-,-,Shareholder Returns
37,2014,+,-,-,Reinvestor
37,2015,+,-,-,Reinvestor
37,2016,+,-,-,Shareholder Returns
37,2017,+,-,-,Reinvestor
37,2018,+,-,-,Reinvestor
37,2019,+,-,-,Shareholder Returns
37,2020,+,-,-,Reinvestor
37,2021,+,-,-,Reinvestor
37,2022,+,-,-,Shareholder Returns
37,2023,+,-,-,Reinvestor
37,2024,+,-,-,Reinvestor
38,2012,+,-,-,Reinvestor
38,2013,+,-,-,Shareholder Returns
38,2014,+,-,-,Reinvestor
38,2015,+,-,-,Reinvestor
38,2016,+,-,-,Shareholder Returns
38,2017,+,-,-,Reinvestor
38,2018,+,-,-,Reinvestor
38,2019,+,-,-,Shareholder Returns
38,2020,+,-,-,Reinvestor
38,2021,+,-,-,Reinvestor
38,2022,+,-,-,Shareholder Returns
38,2023,+,-,-,Reinvestor
38,2024,+,-,-,Reinvestor
39,2012,+,-,-,Reinvestor
39,2013,+,-,-,Shareholder Returns
39,2014,+,-,-,Reinvestor
39,2015,+,-,-,Reinvestor
39,2016,+,-,-,Shareholder Returns
39,2017,+,-,-,Reinvestor
39,2018,+,-,-,Reinvestor
39,2019,+,-,-,Shareholder Returns
39,2020,+,-,-,Reinvestor
39,2021,+,-,-,Reinvestor
39,2022,+,-,-,Shareholder Returns
39,2023,+,-,-,Reinvestor
39,2024,+,-,-,Reinvestor
40,2012,+,-,-,Reinvestor
40,2013,+,-,-,Shareholder Returns
40,2014,+,-,-,Reinvestor
40,2015,+,-,-,Reinvestor
40,2016,+,-,-,Shareholder Returns
40,2017,+,-,-,Reinvestor
40,2018,+,-,-,Reinvestor
40,2019,+,-,-,Shareholder Returns
40,2020,+,-,-,Reinvestor
40,2021,+,-,-,Reinvestor
40,2022,+,-,-,Shareholder Returns
40,2023,+,-,-,Reinvestor
40,2024,+,-,-,Reinvestor
41,2012,+,-,-,Reinvestor
41,2013,+,-,-,Shareholder Returns
41,2014,+,-,-,Reinvestor
41,2015,+,-,-,Reinvestor
41,2016,+,-,-,Shareholder Returns
41,2017,+,-,-,Reinvestor
41,2018,+,-,-,Reinvestor
41,2019,+,-,-,Shareholder Returns
41,2020,+,-,-,Reinvestor
41,2021,+,-,-,Reinvestor
41,2022,+,-,-,Shareholder Returns
41,2023,+,-,-,Reinvestor
41,2024,+,-,-,Reinvestor
42,2012,+,-,-,Reinvestor
42,2013,+,-,-,Shareholder Returns
42,2014,+,-,-,Reinvestor
42,2015,+,-,-,Reinvestor
42,2016,+,-,-,Shareholder Returns
42,2017,+,-,-,Reinvestor
42,2018,+,-,-,Reinvestor
42,2019,+,-,-,Shareholder Returns
42,2020,+,-,-,Reinvestor
42,2021,+,-,-,Reinvestor
42,2022,+,-,-,Shareholder Returns
42,2023,+,-,-,Reinvestor
42,2024,+,-,-,Reinvestor
43,2012,+,-,-,Reinvestor
43,2013,+,-,-,Shareholder Returns
43,2014,+,-,-,Reinvestor
43,2015,+,-,-,Reinvestor
43,2016,+,-,-,Shareholder Returns
43,2017,+,-,-,Reinvestor
43,2018,+,-,-,Reinvestor
43,2019,+,-,-,Shareholder Returns
43,2020,+,-,-,Reinvestor
43,2021,+,-,-,Reinvestor
43,2022,+,-,-,Shareholder Returns
43,2023,+,-,-,Reinvestor
43,2024,+,-,-,Reinvestor
44,2012,+,-,-,Reinvestor
44,2013,+,-,-,Shareholder Returns
44,2014,+,-,-,Reinvestor
44,2015,+,-,-,Reinvestor
44,2016,+,-,-,Shareholder Returns
44,2017,+,-,-,Reinvestor
44,2018,+,-,-,Reinvestor
44,2019,+,-,-,Shareholder Returns
44,2020,+,-,-,Reinvestor
44,2021,+,-,-,Reinvestor
44,2022,+,-,-,Shareholder Returns
44,2023,+,-,-,Reinvestor
44,2024,+,-,-,Reinvestor
45,2012,+,-,-,Reinvestor
45,2013,+,-,-,Shareholder Returns
45,2014,+,-,-,Reinvestor
45,2015,+,-,-,Reinvestor
45,2016,+,-,-,Shareholder Returns
45,2017,+,-,-,Reinvestor
45,2018,+,-,-,Reinvestor
45,2019,+,-,-,Shareholder Returns
45,2020,+,-,-,Reinvestor
45,2021,+,-,-,Reinvestor
45,2022,+,-,-,Shareholder Returns
45,2023,+,-,-,Reinvestor
45,2024,+,-,-,Reinvestor
46,2012,+,-,-,Reinvestor
46,2013,+,-,-,Shareholder Returns
46,2014,+,-,-,Reinvestor
46,2015,+,-,-,Reinvestor
46,2016,+,-,-,Shareholder Returns
46,2017,+,-,-,Reinvestor
46,2018,+,-,-,Reinvestor
46,2019,+,-,-,Shareholder Returns
46,2020,+,-,-,Reinvestor
46,2021,+,-,-,Reinvestor
46,2022,+,-,-,Shareholder Returns
46,2023,+,-,-,Reinvestor
46,2024,+,-,-,Reinvestor
47,2012,+,-,-,Reinvestor
47,2013,+,-,-,Shareholder Returns
47,2014,+,-,-,Reinvestor
47,2015,+,-,-,Reinvestor
47,2016,+,-,-,Shareholder Returns
47,2017,+,-,-,Reinvestor
47,2018,+,-,-,Reinvestor
47,2019,+,-,-,Shareholder Returns
47,2020,+,-,-,Reinvestor
47,2021,+,-,-,Reinvestor
47,2022,+,-,-,Shareholder Returns
47,2023,+,-,-,Reinvestor
47,2024,+,-,-,Reinvestor
48,2012,+,-,-,Reinvestor
48,2013,+,-,-,Shareholder Returns
48,2014,+,-,-,Reinvestor
48,2015,+,-,-,Reinvestor
48,2016,+,-,-,Shareholder Returns
48,2017,+,-,-,Reinvestor
48,2018,+,-,-,Reinvestor
48,2019,+,-,-,Shareholder Returns
48,2020,+,-,-,Reinvestor
48,2021,+,-,-,Reinvestor
48,2022,+,-,-,Shareholder Returns
48,2023,+,-,-,Reinvestor
48,2024,+,-,-,Reinvestor
49,2012,+,-,-,Reinvestor
49,2013,+,-,-,Shareholder Returns
49,2014,+,-,-,Reinvestor
49,2015,+,-,-,Reinvestor
49,2016,+,-,-,Shareholder Returns
49,2017,+,-,-,Reinvestor
49,2018,+,-,-,Reinvestor
49,2019,+,-,-,Shareholder Returns
49,2020,+,-,-,Reinvestor
49,2021,+,-,-,Reinvestor
49,2022,+,-,-,Shareholder Returns
49,2023,+,-,-,Reinvestor
49,2024,+,-,-,Reinvestor
50,2012,+,-,-,Reinvestor
50,2013,+,-,-,Shareholder Returns
50,2014,+,-,-,Reinvestor
50,2015,+,-,-,Reinvestor
50,2016,+,-,-,Shareholder Returns
50,2017,+,-,-,Reinvestor
50,2018,+,-,-,Reinvestor
50,2019,+,-,-,Shareholder Returns
50,2020,+,-,-,Reinvestor
50,2021,+,-,-,Reinvestor
50,2022,+,-,-,Shareholder Returns
50,2023,+,-,-,Reinvestor
50,2024,+,-,-,Reinvestor
51,2012,+,-,-,Reinvestor
51,2013,+,-,-,Shareholder Returns
51,2014,+,-,-,Reinvestor
51,2015,+,-,-,Reinvestor
51,2016,+,-,-,Shareholder Returns
51,2017,+,-,-,Reinvestor
51,2018,+,-,-,Reinvestor
51,2019,+,-,-,Shareholder Returns
51,2020,+,-,-,Reinvestor
51,2021,+,-,-,Reinvestor
51,2022,+,-,-,Shareholder Returns
51,2023,+,-,-,Reinvestor
51,2024,+,-,-,Reinvestor
52,2012,+,-,-,Reinvestor
52,2013,+,-,-,Shareholder Returns
52,2014,+,-,-,Reinvestor
52,2015,+,-,-,Reinvestor
52,2016,+,-,-,Shareholder Returns
52,2017,+,-,-,Reinvestor
52,2018,+,-,-,Reinvestor
52,2019,+,-,-,Shareholder Returns
52,2020,+,-,-,Reinvestor
52,2021,+,-,-,Reinvestor
52,2022,+,-,-,Shareholder Returns
52,2023,+,-,-,Reinvestor
52,2024,+,-,-,Reinvestor
53,2012,+,-,-,Reinvestor
53,2013,+,-,-,Shareholder Returns
53,2014,+,-,-,Reinvestor
53,2015,+,-,-,Reinvestor
53,2016,+,-,-,Shareholder Returns
53,2017,+,-,-,Reinvestor
53,2018,+,-,-,Reinvestor
53,2019,+,-,-,Shareholder Returns
53,2020,+,-,-,Reinvestor
53,2021,+,-,-,Reinvestor
53,2022,+,-,-,Shareholder Returns
53,2023,+,-,-,Reinvestor
53,2024,+,-,-,Reinvestor
54,2012,+,-,-,Reinvestor
54,2013,+,-,-,Shareholder Returns
54,2014,+,-,-,Reinvestor
54,2015,+,-,-,Reinvestor
54,2016,+,-,-,Shareholder Returns
54,2017,+,-,-,Reinvestor
54,2018,+,-,-,Reinvestor
54,2019,+,-,-,Shareholder Returns
54,2020,+,-,-,Reinvestor
54,2021,+,-,-,Reinvestor
54,2022,+,-,-,Shareholder Returns
54,2023,+,-,-,Reinvestor
54,2024,+,-,-,Reinvestor
55,2012,+,-,-,Reinvestor
55,2013,+,-,-,Shareholder Returns
55,2014,+,-,-,Reinvestor
55,2015,+,-,-,Reinvestor
55,2016,+,-,-,Shareholder Returns
55,2017,+,-,-,Reinvestor
55,2018,+,-,-,Reinvestor
55,2019,+,-,-,Shareholder Returns
55,2020,+,-,-,Reinvestor
55,2021,+,-,-,Reinvestor
55,2022,+,-,-,Shareholder Returns
55,2023,+,-,-,Reinvestor
55,2024,+,-,-,Reinvestor
56,2012,+,-,-,Reinvestor
56,2013,+,-,-,Shareholder Returns
56,2014,+,-,-,Reinvestor
56,2015,+,-,-,Reinvestor
56,2016,+,-,-,Shareholder Returns
56,2017,+,-,-,Reinvestor
56,2018,+,-,-,Reinvestor
56,2019,+,-,-,Shareholder Returns
56,2020,+,-,-,Reinvestor
56,2021,+,-,-,Reinvestor
56,2022,+,-,-,Shareholder Returns
56,2023,+,-,-,Reinvestor
56,2024,+,-,-,Reinvestor
57,2012,+,-,-,Reinvestor
57,2013,+,-,-,Shareholder Returns
57,2014,+,-,-,Reinvestor
57,2015,+,-,-,Reinvestor
57,2016,+,-,-,Shareholder Returns
57,2017,+,-,-,Reinvestor
57,2018,+,-,-,Reinvestor
57,2019,+,-,-,Shareholder Returns
57,2020,+,-,-,Reinvestor
57,2021,+,-,-,Reinvestor
57,2022,+,-,-,Shareholder Returns
57,2023,+,-,-,Reinvestor
57,2024,+,-,-,Reinvestor
58,2012,+,-,-,Reinvestor
58,2013,+,-,-,Shareholder Returns
58,2014,+,-,-,Reinvestor
58,2015,+,-,-,Reinvestor
58,2016,+,-,-,Shareholder Returns
58,2017,+,-,-,Reinvestor
58,2018,+,-,-,Reinvestor
